2019-06-14 11:32:16 [root] [INFO] :20: 访问网址：http://101.200.149.181:8888/login/?next=/
2019-06-14 11:32:25 [root] [INFO] :20: 元素:('id', 'login-password'),输入文本：CA888888
2019-06-14 11:32:25 [root] [INFO] :20: 正在定位元素信息：定位方式->id, value值->login-code
2019-06-14 11:32:25 [root] [INFO] :20: 点击元素:('id', 'login-code')
2019-06-14 11:32:25 [root] [INFO] :20: 正在定位元素信息：定位方式->id, value值->login-verification-code
2019-06-14 11:32:25 [root] [INFO] :20: 元素:('id', 'login-verification-code'),输入文本：123456
2019-06-14 11:32:25 [root] [INFO] :20: 正在定位元素信息：定位方式->id, value值->login-password
2019-06-14 11:32:26 [root] [INFO] :20: 点击元素:('id', 'login-password')
2019-06-14 11:32:26 [root] [INFO] :20: 正在定位元素信息：定位方式->id, value值->login-submit
2019-06-14 11:32:26 [root] [INFO] :20: 点击元素:('id', 'login-submit')
2019-06-14 11:32:26 [root] [INFO] :20: 元素：('xpath', '/html/body/div/div[1]/section[1]/h1')，获取文本
2019-06-14 11:32:26 [root] [INFO] :20: 正在定位元素信息：定位方式->xpath, value值->/html/body/div/div[1]/section[1]/h1
2019-06-14 11:32:26 [root] [INFO] :20: 获取到文本：首页
2019-06-18 14:07:35 [root] [INFO] :20: 访问网址：http://101.200.149.181:8888/login/?next=/
2019-06-18 14:07:35 [root] [INFO] :20: 正在定位元素信息：定位方式->id, value值->login-username
2019-06-18 14:07:35 [root] [INFO] :20: 元素:('id', 'login-username'),输入文本：meijin.hou
2019-06-18 14:07:35 [root] [INFO] :20: 正在定位元素信息：定位方式->id, value值->login-password
2019-06-18 14:07:35 [root] [INFO] :20: 元素:('id', 'login-password'),输入文本：CA888888
2019-06-18 14:07:35 [root] [INFO] :20: 正在定位元素信息：定位方式->id, value值->login-code
2019-06-18 14:07:35 [root] [INFO] :20: 点击元素:('id', 'login-code')
2019-06-18 14:07:35 [root] [INFO] :20: 正在定位元素信息：定位方式->id, value值->login-verification-code
2019-06-18 14:07:35 [root] [INFO] :20: 元素:('id', 'login-verification-code'),输入文本：123456
2019-06-18 14:07:35 [root] [INFO] :20: 正在定位元素信息：定位方式->id, value值->login-password
2019-06-18 14:07:35 [root] [INFO] :20: 点击元素:('id', 'login-password')
2019-06-18 14:07:35 [root] [INFO] :20: 正在定位元素信息：定位方式->id, value值->login-submit
2019-06-18 14:07:36 [root] [INFO] :20: 点击元素:('id', 'login-submit')
2019-06-18 14:07:36 [root] [INFO] :20: 正在定位元素信息：定位方式->id, value值->mb_marketing
2019-06-18 14:07:36 [root] [INFO] :20: 点击元素:('id', 'mb_marketing')
2019-06-18 14:07:38 [root] [INFO] :20: 正在定位元素信息：定位方式->xpath, value值->/html/body/div/aside/section/ul/li[6]/ul/li[2]/a
2019-06-18 14:07:38 [root] [INFO] :20: 点击元素:('xpath', '/html/body/div/aside/section/ul/li[6]/ul/li[2]/a')
2019-06-18 14:07:38 [root] [INFO] :20: 正在定位元素信息：定位方式->xpath, value值->/html/body/div/div[1]/section[2]/div/div/div/div/div/a
2019-06-18 14:07:38 [root] [INFO] :20: 点击元素:('xpath', '/html/body/div/div[1]/section[2]/div/div/div/div/div/a')
2019-06-18 14:07:38 [root] [INFO] :20: 正在定位元素信息：定位方式->id, value值->id_title
2019-06-18 14:07:38 [root] [INFO] :20: 元素:('id', 'id_title'),输入文本：标题标题标题
2019-06-18 14:07:38 [root] [INFO] :20: 正在定位元素信息：定位方式->id, value值->id_content
2019-06-18 14:07:38 [root] [INFO] :20: 元素:('id', 'id_content'),输入文本：内容内容尼尔内容
2019-06-18 14:07:38 [root] [INFO] :20: 正在定位元素信息：定位方式->id, value值->id_display_start_date
2019-06-18 14:07:38 [root] [INFO] :20: 点击元素:('id', 'id_display_start_date')
2019-06-18 14:07:38 [root] [INFO] :20: 正在定位元素信息：定位方式->xpath, value值->//*[@id="ui-datepicker-div"]/div[3]/button[1]
2019-06-18 14:07:39 [root] [INFO] :20: 点击元素:('xpath', '//*[@id="ui-datepicker-div"]/div[3]/button[1]')
2019-06-18 14:07:39 [root] [INFO] :20: 正在定位元素信息：定位方式->id, value值->id_display_end_date
2019-06-18 14:07:39 [root] [INFO] :20: 点击元素:('id', 'id_display_end_date')
2019-06-18 14:07:39 [root] [INFO] :20: 正在定位元素信息：定位方式->xpath, value值->//*[@id="ui-datepicker-div"]/div[3]/button[1]
2019-06-18 14:07:39 [root] [INFO] :20: 点击元素:('xpath', '//*[@id="ui-datepicker-div"]/div[3]/button[1]')
2019-06-18 14:07:39 [root] [INFO] :20: 正在定位元素信息：定位方式->xpath, value值->/html/body/div[1]/div[1]/section[2]/div/div/div/div/div/form/button
2019-06-18 14:07:39 [root] [INFO] :20: 点击元素:('xpath', '/html/body/div[1]/div[1]/section[2]/div/div/div/div/div/form/button')
2019-06-18 14:07:41 [root] [INFO] :20: 元素：('xpath', '//*[@id="notification_list"]/tbody/tr[1]/td[2]')，获取文本
2019-06-18 14:07:41 [root] [INFO] :20: 正在定位元素信息：定位方式->xpath, value值->//*[@id="notification_list"]/tbody/tr[1]/td[2]
2019-06-18 14:07:41 [root] [INFO] :20: 获取到文本：标题标题标题
2019-06-18 14:07:43 [root] [INFO] :20: 访问网址：http://101.200.149.181:8888/login/?next=/
2019-06-18 14:07:43 [root] [INFO] :20: 正在定位元素信息：定位方式->id, value值->login-username
2019-06-18 14:07:43 [root] [INFO] :20: 元素:('id', 'login-username'),输入文本：meijin.hou
2019-06-18 14:07:43 [root] [INFO] :20: 正在定位元素信息：定位方式->id, value值->login-password
2019-06-18 14:07:44 [root] [INFO] :20: 元素:('id', 'login-password'),输入文本：CA888888
2019-06-18 14:07:44 [root] [INFO] :20: 正在定位元素信息：定位方式->id, value值->login-code
2019-06-18 14:07:44 [root] [INFO] :20: 点击元素:('id', 'login-code')
2019-06-18 14:07:44 [root] [INFO] :20: 正在定位元素信息：定位方式->id, value值->login-verification-code
2019-06-18 14:07:44 [root] [INFO] :20: 元素:('id', 'login-verification-code'),输入文本：123456
2019-06-18 14:07:44 [root] [INFO] :20: 正在定位元素信息：定位方式->id, value值->login-password
2019-06-18 14:07:44 [root] [INFO] :20: 点击元素:('id', 'login-password')
2019-06-18 14:07:44 [root] [INFO] :20: 正在定位元素信息：定位方式->id, value值->login-submit
2019-06-18 14:07:44 [root] [INFO] :20: 点击元素:('id', 'login-submit')
2019-06-18 14:07:44 [root] [INFO] :20: 元素：('xpath', '/html/body/div/div[1]/section[1]/h1')，获取文本
2019-06-18 14:07:44 [root] [INFO] :20: 正在定位元素信息：定位方式->xpath, value值->/html/body/div/div[1]/section[1]/h1
2019-06-18 14:07:44 [root] [INFO] :20: 获取到文本：首页
2019-09-11 13:58:22 [root] [INFO] :20: 访问网址：http://101.200.149.181:8888/login/?next=/
2019-09-11 13:58:22 [root] [INFO] :20: 正在定位元素信息：定位方式->id, value值->login-username
2019-09-11 13:58:22 [root] [INFO] :20: 元素:('id', 'login-username'),输入文本：meijin.hou
2019-09-11 13:58:22 [root] [INFO] :20: 正在定位元素信息：定位方式->id, value值->login-password
2019-09-11 13:58:22 [root] [INFO] :20: 元素:('id', 'login-password'),输入文本：CA888888
2019-09-11 13:58:22 [root] [INFO] :20: 正在定位元素信息：定位方式->id, value值->login-code
2019-09-11 13:58:22 [root] [INFO] :20: 点击元素:('id', 'login-code')
2019-09-11 13:58:22 [root] [INFO] :20: 正在定位元素信息：定位方式->id, value值->login-verification-code
2019-09-11 13:58:22 [root] [INFO] :20: 元素:('id', 'login-verification-code'),输入文本：123456
2019-09-11 13:58:22 [root] [INFO] :20: 正在定位元素信息：定位方式->id, value值->login-password
2019-09-11 13:58:22 [root] [INFO] :20: 点击元素:('id', 'login-password')
2019-09-11 13:58:22 [root] [INFO] :20: 正在定位元素信息：定位方式->id, value值->login-submit
2019-09-11 13:58:23 [root] [INFO] :20: 点击元素:('id', 'login-submit')
2019-09-11 13:58:23 [root] [INFO] :20: 元素：('xpath', '/html/body/div/div[1]/section[1]/h1')，获取文本
2019-09-11 13:58:23 [root] [INFO] :20: 正在定位元素信息：定位方式->xpath, value值->/html/body/div/div[1]/section[1]/h1
2019-09-11 13:58:23 [root] [INFO] :20: 获取到文本：首页
2019-09-11 13:58:38 [root] [INFO] :20: 访问网址：http://101.200.149.181:8888/login/?next=/
2019-09-11 13:58:38 [root] [INFO] :20: 正在定位元素信息：定位方式->id, value值->login-username
2019-09-11 13:58:38 [root] [INFO] :20: 元素:('id', 'login-username'),输入文本：meijin.hou
2019-09-11 13:58:38 [root] [INFO] :20: 正在定位元素信息：定位方式->id, value值->login-password
2019-09-11 13:58:38 [root] [INFO] :20: 元素:('id', 'login-password'),输入文本：CA888888
2019-09-11 13:58:38 [root] [INFO] :20: 正在定位元素信息：定位方式->id, value值->login-code
2019-09-11 13:58:38 [root] [INFO] :20: 点击元素:('id', 'login-code')
2019-09-11 13:58:38 [root] [INFO] :20: 正在定位元素信息：定位方式->id, value值->login-verification-code
2019-09-11 13:58:38 [root] [INFO] :20: 元素:('id', 'login-verification-code'),输入文本：123456
2019-09-11 13:58:38 [root] [INFO] :20: 正在定位元素信息：定位方式->id, value值->login-password
2019-09-11 13:58:38 [root] [INFO] :20: 点击元素:('id', 'login-password')
2019-09-11 13:58:38 [root] [INFO] :20: 正在定位元素信息：定位方式->id, value值->login-submit
2019-09-11 13:58:39 [root] [INFO] :20: 点击元素:('id', 'login-submit')
2019-09-11 13:58:39 [root] [INFO] :20: 正在定位元素信息：定位方式->id, value值->mb_marketing
2019-09-11 13:58:39 [root] [INFO] :20: 点击元素:('id', 'mb_marketing')
2019-09-11 13:58:41 [root] [INFO] :20: 正在定位元素信息：定位方式->xpath, value值->/html/body/div/aside/section/ul/li[6]/ul/li[2]/a
2019-09-11 13:58:41 [root] [INFO] :20: 点击元素:('xpath', '/html/body/div/aside/section/ul/li[6]/ul/li[2]/a')
2019-09-11 13:58:41 [root] [INFO] :20: 正在定位元素信息：定位方式->xpath, value值->/html/body/div/div[1]/section[2]/div/div/div/div/div/a
2019-09-11 13:58:42 [root] [INFO] :20: 点击元素:('xpath', '/html/body/div/div[1]/section[2]/div/div/div/div/div/a')
2019-09-11 13:58:42 [root] [INFO] :20: 正在定位元素信息：定位方式->id, value值->id_title
2019-09-11 13:58:42 [root] [INFO] :20: 元素:('id', 'id_title'),输入文本：标题标题标题
2019-09-11 13:58:42 [root] [INFO] :20: 正在定位元素信息：定位方式->id, value值->id_content
2019-09-11 13:58:42 [root] [INFO] :20: 元素:('id', 'id_content'),输入文本：内容内容尼尔内容
2019-09-11 13:58:42 [root] [INFO] :20: 正在定位元素信息：定位方式->id, value值->id_display_start_date
2019-09-11 13:58:42 [root] [INFO] :20: 点击元素:('id', 'id_display_start_date')
2019-09-11 13:58:42 [root] [INFO] :20: 正在定位元素信息：定位方式->xpath, value值->//*[@id="ui-datepicker-div"]/div[3]/button[1]
2019-09-11 13:58:42 [root] [INFO] :20: 点击元素:('xpath', '//*[@id="ui-datepicker-div"]/div[3]/button[1]')
2019-09-11 13:58:42 [root] [INFO] :20: 正在定位元素信息：定位方式->id, value值->id_display_end_date
2019-09-11 13:58:42 [root] [INFO] :20: 点击元素:('id', 'id_display_end_date')
2019-09-11 13:58:42 [root] [INFO] :20: 正在定位元素信息：定位方式->xpath, value值->//*[@id="ui-datepicker-div"]/div[3]/button[1]
2019-09-11 13:58:42 [root] [INFO] :20: 点击元素:('xpath', '//*[@id="ui-datepicker-div"]/div[3]/button[1]')
2019-09-11 13:58:42 [root] [INFO] :20: 正在定位元素信息：定位方式->xpath, value值->/html/body/div[1]/div[1]/section[2]/div/div/div/div/div/form/button
2019-09-11 13:58:43 [root] [INFO] :20: 点击元素:('xpath', '/html/body/div[1]/div[1]/section[2]/div/div/div/div/div/form/button')
2019-09-11 13:58:45 [root] [INFO] :20: 元素：('xpath', '//*[@id="notification_list"]/tbody/tr[1]/td[2]')，获取文本
2019-09-11 13:58:45 [root] [INFO] :20: 正在定位元素信息：定位方式->xpath, value值->//*[@id="notification_list"]/tbody/tr[1]/td[2]
2019-09-11 13:58:45 [root] [INFO] :20: 获取到文本：标题标题标题
2019-09-11 13:58:47 [root] [INFO] :20: 访问网址：http://101.200.149.181:8888/login/?next=/
2019-09-11 13:58:47 [root] [INFO] :20: 正在定位元素信息：定位方式->id, value值->login-username
2019-09-11 13:58:47 [root] [INFO] :20: 元素:('id', 'login-username'),输入文本：meijin.hou
2019-09-11 13:58:47 [root] [INFO] :20: 正在定位元素信息：定位方式->id, value值->login-password
2019-09-11 13:58:47 [root] [INFO] :20: 元素:('id', 'login-password'),输入文本：CA888888
2019-09-11 13:58:47 [root] [INFO] :20: 正在定位元素信息：定位方式->id, value值->login-code
2019-09-11 13:58:47 [root] [INFO] :20: 点击元素:('id', 'login-code')
2019-09-11 13:58:47 [root] [INFO] :20: 正在定位元素信息：定位方式->id, value值->login-verification-code
2019-09-11 13:58:47 [root] [INFO] :20: 元素:('id', 'login-verification-code'),输入文本：123456
2019-09-11 13:58:47 [root] [INFO] :20: 正在定位元素信息：定位方式->id, value值->login-password
2019-09-11 13:58:47 [root] [INFO] :20: 点击元素:('id', 'login-password')
2019-09-11 13:58:47 [root] [INFO] :20: 正在定位元素信息：定位方式->id, value值->login-submit
2019-09-11 13:58:48 [root] [INFO] :20: 点击元素:('id', 'login-submit')
2019-09-11 13:58:48 [root] [INFO] :20: 元素：('xpath', '/html/body/div/div[1]/section[1]/h1')，获取文本
2019-09-11 13:58:48 [root] [INFO] :20: 正在定位元素信息：定位方式->xpath, value值->/html/body/div/div[1]/section[1]/h1
2019-09-11 13:58:48 [root] [INFO] :20: 获取到文本：首页
2019-09-11 17:54:32 [root] [INFO] :20: 访问网址：http://101.200.149.181:8888/login/?next=/
2019-09-11 17:54:32 [root] [INFO] :20: 正在定位元素信息：定位方式->id, value值->login-username
2019-09-11 17:54:32 [root] [INFO] :20: 元素:('id', 'login-username'),输入文本：meijin.hou
2019-09-11 17:54:32 [root] [INFO] :20: 正在定位元素信息：定位方式->id, value值->login-password
2019-09-11 17:54:32 [root] [INFO] :20: 元素:('id', 'login-password'),输入文本：CA888888
2019-09-11 17:54:32 [root] [INFO] :20: 正在定位元素信息：定位方式->id, value值->login-code
2019-09-11 17:54:32 [root] [INFO] :20: 点击元素:('id', 'login-code')
2019-09-11 17:54:32 [root] [INFO] :20: 正在定位元素信息：定位方式->id, value值->login-verification-code
2019-09-11 17:54:32 [root] [INFO] :20: 元素:('id', 'login-verification-code'),输入文本：123456
2019-09-11 17:54:32 [root] [INFO] :20: 正在定位元素信息：定位方式->id, value值->login-password
2019-09-11 17:54:32 [root] [INFO] :20: 点击元素:('id', 'login-password')
2019-09-11 17:54:32 [root] [INFO] :20: 正在定位元素信息：定位方式->id, value值->login-submit
2019-09-11 17:54:33 [root] [INFO] :20: 点击元素:('id', 'login-submit')
2019-09-11 17:54:33 [root] [INFO] :20: 正在定位元素信息：定位方式->id, value值->mb_marketing
2019-09-11 17:54:33 [root] [INFO] :20: 点击元素:('id', 'mb_marketing')
2019-09-11 17:54:35 [root] [INFO] :20: 正在定位元素信息：定位方式->xpath, value值->/html/body/div/aside/section/ul/li[6]/ul/li[2]/a
2019-09-11 17:54:36 [root] [INFO] :20: 点击元素:('xpath', '/html/body/div/aside/section/ul/li[6]/ul/li[2]/a')
2019-09-11 17:54:36 [root] [INFO] :20: 正在定位元素信息：定位方式->xpath, value值->/html/body/div/div[1]/section[2]/div/div/div/div/div/a
2019-09-11 17:54:36 [root] [INFO] :20: 点击元素:('xpath', '/html/body/div/div[1]/section[2]/div/div/div/div/div/a')
2019-09-11 17:54:36 [root] [INFO] :20: 正在定位元素信息：定位方式->id, value值->id_title
2019-09-11 17:54:36 [root] [INFO] :20: 元素:('id', 'id_title'),输入文本：标题标题标题
2019-09-11 17:54:36 [root] [INFO] :20: 正在定位元素信息：定位方式->id, value值->id_content
2019-09-11 17:54:36 [root] [INFO] :20: 元素:('id', 'id_content'),输入文本：内容内容尼尔内容
2019-09-11 17:54:36 [root] [INFO] :20: 正在定位元素信息：定位方式->id, value值->id_display_start_date
2019-09-11 17:54:36 [root] [INFO] :20: 点击元素:('id', 'id_display_start_date')
2019-09-11 17:54:36 [root] [INFO] :20: 正在定位元素信息：定位方式->xpath, value值->//*[@id="ui-datepicker-div"]/div[3]/button[1]
2019-09-11 17:54:36 [root] [INFO] :20: 点击元素:('xpath', '//*[@id="ui-datepicker-div"]/div[3]/button[1]')
2019-09-11 17:54:36 [root] [INFO] :20: 正在定位元素信息：定位方式->id, value值->id_display_end_date
2019-09-11 17:54:36 [root] [INFO] :20: 点击元素:('id', 'id_display_end_date')
2019-09-11 17:54:36 [root] [INFO] :20: 正在定位元素信息：定位方式->xpath, value值->//*[@id="ui-datepicker-div"]/div[3]/button[1]
2019-09-11 17:54:36 [root] [INFO] :20: 点击元素:('xpath', '//*[@id="ui-datepicker-div"]/div[3]/button[1]')
2019-09-11 17:54:36 [root] [INFO] :20: 正在定位元素信息：定位方式->xpath, value值->/html/body/div[1]/div[1]/section[2]/div/div/div/div/div/form/button
2019-09-16 09:48:49 [root] [INFO] :20: 访问网址：http://101.200.149.181:8888/login/?next=/
2019-09-16 09:48:49 [root] [INFO] :20: 正在定位元素信息：定位方式->id, value值->login-username
2019-09-16 09:48:49 [root] [INFO] :20: 元素:('id', 'login-username'),输入文本：meijin.hou
2019-09-16 09:48:49 [root] [INFO] :20: 正在定位元素信息：定位方式->id, value值->login-password
2019-09-16 09:48:49 [root] [INFO] :20: 元素:('id', 'login-password'),输入文本：CA888888
2019-09-16 09:48:49 [root] [INFO] :20: 正在定位元素信息：定位方式->id, value值->login-code
2019-09-16 09:48:49 [root] [INFO] :20: 点击元素:('id', 'login-code')
2019-09-16 09:48:49 [root] [INFO] :20: 正在定位元素信息：定位方式->id, value值->login-verification-code
2019-09-16 09:48:49 [root] [INFO] :20: 元素:('id', 'login-verification-code'),输入文本：123456
2019-09-16 09:48:49 [root] [INFO] :20: 正在定位元素信息：定位方式->id, value值->login-password
2019-09-16 09:48:49 [root] [INFO] :20: 点击元素:('id', 'login-password')
2019-09-16 09:48:49 [root] [INFO] :20: 正在定位元素信息：定位方式->id, value值->login-submit
2019-09-16 09:48:51 [root] [INFO] :20: 点击元素:('id', 'login-submit')
2019-09-16 09:48:51 [root] [INFO] :20: 元素：('xpath', '/html/body/div/div[1]/section[1]/h1')，获取文本
2019-09-16 09:48:51 [root] [INFO] :20: 正在定位元素信息：定位方式->xpath, value值->/html/body/div/div[1]/section[1]/h1
2019-09-16 09:48:51 [root] [INFO] :20: 获取到文本：首页
2019-09-16 10:10:14 [root] [INFO] :20: 访问网址：http://101.200.149.181:8888/login/?next=/
2019-09-16 10:10:14 [root] [INFO] :20: 正在定位元素信息：定位方式->id, value值->login-username
2019-09-16 10:10:14 [root] [INFO] :20: 元素:('id', 'login-username'),输入文本：meijin.hou
2019-09-16 10:10:14 [root] [INFO] :20: 正在定位元素信息：定位方式->id, value值->login-password
2019-09-16 10:10:14 [root] [INFO] :20: 元素:('id', 'login-password'),输入文本：CA888888
2019-09-16 10:10:14 [root] [INFO] :20: 正在定位元素信息：定位方式->id, value值->login-code
2019-09-16 10:10:15 [root] [INFO] :20: 点击元素:('id', 'login-code')
2019-09-16 10:10:15 [root] [INFO] :20: 正在定位元素信息：定位方式->id, value值->login-verification-code
2019-09-16 10:10:15 [root] [INFO] :20: 元素:('id', 'login-verification-code'),输入文本：123456
2019-09-16 10:10:15 [root] [INFO] :20: 正在定位元素信息：定位方式->id, value值->login-password
2019-09-16 10:10:15 [root] [INFO] :20: 点击元素:('id', 'login-password')
2019-09-16 10:10:15 [root] [INFO] :20: 正在定位元素信息：定位方式->id, value值->login-submit
2019-09-16 10:10:15 [root] [INFO] :20: 点击元素:('id', 'login-submit')
2019-09-16 10:10:15 [root] [INFO] :20: 元素：('xpath', '/html/body/div/div[1]/section[1]/h1')，获取文本
2019-09-16 10:10:15 [root] [INFO] :20: 正在定位元素信息：定位方式->xpath, value值->/html/body/div/div[1]/section[1]/h1
2019-09-16 10:10:15 [root] [INFO] :20: 获取到文本：首页
2019-09-16 10:26:34 [root] [INFO] :20: 访问网址：http://101.200.149.181:8888/login/?next=/
2019-09-16 10:26:34 [root] [INFO] :20: 正在定位元素信息：定位方式->id, value值->login-username
2019-09-16 10:26:34 [root] [INFO] :20: 访问网址：http://101.200.149.181:8888/login/?next=/
2019-09-16 10:26:34 [root] [INFO] :20: 正在定位元素信息：定位方式->id, value值->login-username
2019-09-16 10:26:34 [root] [INFO] :20: 元素:('id', 'login-username'),输入文本：meijin.hou
2019-09-16 10:26:34 [root] [INFO] :20: 正在定位元素信息：定位方式->id, value值->login-password
2019-09-16 10:26:34 [root] [INFO] :20: 元素:('id', 'login-password'),输入文本：CA888888
2019-09-16 10:26:34 [root] [INFO] :20: 正在定位元素信息：定位方式->id, value值->login-code
2019-09-16 10:26:34 [root] [INFO] :20: 元素:('id', 'login-username'),输入文本：meijin.hou
2019-09-16 10:26:34 [root] [INFO] :20: 正在定位元素信息：定位方式->id, value值->login-password
2019-09-16 10:26:34 [root] [INFO] :20: 点击元素:('id', 'login-code')
2019-09-16 10:26:34 [root] [INFO] :20: 正在定位元素信息：定位方式->id, value值->login-verification-code
2019-09-16 10:26:34 [root] [INFO] :20: 元素:('id', 'login-password'),输入文本：CA888888
2019-09-16 10:26:34 [root] [INFO] :20: 正在定位元素信息：定位方式->id, value值->login-code
2019-09-16 10:26:34 [root] [INFO] :20: 元素:('id', 'login-verification-code'),输入文本：123456
2019-09-16 10:26:34 [root] [INFO] :20: 正在定位元素信息：定位方式->id, value值->login-password
2019-09-16 10:26:34 [root] [INFO] :20: 点击元素:('id', 'login-code')
2019-09-16 10:26:34 [root] [INFO] :20: 正在定位元素信息：定位方式->id, value值->login-verification-code
2019-09-16 10:26:34 [root] [INFO] :20: 点击元素:('id', 'login-password')
2019-09-16 10:26:34 [root] [INFO] :20: 正在定位元素信息：定位方式->id, value值->login-submit
2019-09-16 10:26:34 [root] [INFO] :20: 元素:('id', 'login-verification-code'),输入文本：123456
2019-09-16 10:26:34 [root] [INFO] :20: 正在定位元素信息：定位方式->id, value值->login-password
2019-09-16 10:26:34 [root] [INFO] :20: 点击元素:('id', 'login-password')
2019-09-16 10:26:34 [root] [INFO] :20: 正在定位元素信息：定位方式->id, value值->login-submit
2019-09-16 10:26:35 [root] [INFO] :20: 点击元素:('id', 'login-submit')
2019-09-16 10:26:35 [root] [INFO] :20: 正在定位元素信息：定位方式->id, value值->mb_marketing
2019-09-16 10:26:35 [root] [INFO] :20: 点击元素:('id', 'login-submit')
2019-09-16 10:26:35 [root] [INFO] :20: 元素：('xpath', '/html/body/div/div[1]/section[1]/h1')，获取文本
2019-09-16 10:26:35 [root] [INFO] :20: 正在定位元素信息：定位方式->xpath, value值->/html/body/div/div[1]/section[1]/h1
2019-09-16 10:26:35 [root] [INFO] :20: 获取到文本：首页
2019-09-16 10:26:45 [root] [INFO] :20: 在此时进行截图！！
2019-09-16 10:26:46 [root] [INFO] :20: 已成功生成截图，请确认！
2019-09-16 10:26:46 [root] [INFO] :20: 在此时进行截图！！
2019-09-16 10:26:46 [root] [INFO] :20: 已成功生成截图，请确认！
